taxonomy_l1,difficulty,n_tasks,n_judged,avg_weighted,pass_rate
Cardiovascular Medicine,hard,14,0,,
Cardiovascular Medicine,medium,5,0,,
Clinical Medicine,hard,34,0,,
Clinical Medicine,medium,27,0,,
Genomics & Precision Medicine,hard,13,0,,
Genomics & Precision Medicine,medium,5,0,,
Infectious Disease & Immunology,hard,23,0,,
Infectious Disease & Immunology,medium,6,0,,
Medical AI & Informatics,hard,5,0,,
Medical AI & Informatics,medium,5,0,,
Neuroscience & Psychiatry,hard,46,0,,
Neuroscience & Psychiatry,medium,8,0,,
Oncology,easy,1,0,,
Oncology,hard,38,0,,
Oncology,medium,6,0,,
Other,easy,1,0,,
Other,hard,3,0,,
Other,medium,1,0,,
Pharmacology & Drug Discovery,hard,11,0,,
Pharmacology & Drug Discovery,medium,4,0,,
Public Health & Epidemiology,easy,2,0,,
Public Health & Epidemiology,hard,10,0,,
Public Health & Epidemiology,medium,6,0,,
Rare & Orphan Diseases,hard,4,0,,
Rare & Orphan Diseases,medium,3,0,,
Surgical Sciences,easy,2,0,,
Surgical Sciences,hard,11,0,,
Surgical Sciences,medium,6,0,,
